Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Reverse Grip Dumbbell Preacher Curl Video Exercise Guide,Forearms,Strength,Dumbbell,Isolation,Pull,Beginner,Biceps,Forearms,https://www.muscleandstrength.com/exercises/dumbbell-reverse-preacher-curl.html
Hyperextension Video Exercise Guide,Glutes,Strength,Bodyweight,Isolation,Hinge (Bilateral),Beginner,"Hamstrings, Lower Back",Glutes,https://www.muscleandstrength.com/exercises/hyperextension.html
Good Mornings Video Exercise Guide,Glutes,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Hamstrings, Lower Back, Upper Back",Glutes,https://www.muscleandstrength.com/exercises/good-mornings.html
Standing Glute Kickback Machine Video Exercise Guide,Glutes,Strength,Machine,Isolation,Push,Beginner,Hamstrings,Glutes,https://www.muscleandstrength.com/exercises/standing-glute-kickback.html
Glute Kick Back Video Exercise Guide,Glutes,Strength,Bodyweight,Isolation,Push (Unilateral),Beginner,Hamstrings,Glutes,https://www.muscleandstrength.com/exercises/glute-kick-back.html
Wide Stance Smith Machine Squat Video Exercise Guide,Glutes,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Glutes,https://www.muscleandstrength.com/exercises/wide-smith-machine-squat.html
Seated Good Mornings Video Exercise Guide,Glutes,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Hamstrings, Lower Back, Upper Back",Glutes,https://www.muscleandstrength.com/exercises/seated-good-mornings.html
Hip Flexion Machine Video Exercise Guide,Glutes,Strength,Machine,Isolation,Push,Beginner,Abductors,Glutes,https://www.muscleandstrength.com/exercises/hip-extensions.html
Dumbbell Stiff Leg Deadlift Video Exercise Guide,Hamstrings,Strength,Dumbbell,Compound,Pull,Beginner,"Glutes, Lower Back",Hamstrings,https://www.muscleandstrength.com/exercises/dumbbell-stiff-leg-deadlift.html
Deadlift Video Exercise Guide,Hamstrings,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Adductors, Calves, Forearms, Glutes, Hamstrings, Lats, Lower Back, Middle Back, Quads, Traps, Upper Back",Hamstrings,https://www.muscleandstrength.com/exercises/deadlifts.html
Leg Curl Video Exercise Guide,Hamstrings,Strength,Machine,Isolation,Pull,Beginner,None,Hamstrings,https://www.muscleandstrength.com/exercises/leg-curl.html
Dumbbell Hamstring Curl Video Exercise Guide,Hamstrings,Strength,Dumbbell,Isolation,Pull,Intermediate,None,Hamstrings,https://www.muscleandstrength.com/exercises/dumbbell-hamstring-curl.html
Single Leg Curl Video Exercise Guide,Hamstrings,Strength,Machine,Isolation,Pull,Beginner,None,Hamstrings,https://www.muscleandstrength.com/exercises/single-leg-curl.html
Reverse Hack Squat Video Exercise Guide,Hamstrings,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Quads",Hamstrings,https://www.muscleandstrength.com/exercises/reverse-hack-squat.html
Standing Cable Hamstring Curl Video Exercise Guide,Hamstrings,Strength,Cable,Isolation,Push,Beginner,None,Hamstrings,https://www.muscleandstrength.com/exercises/standing-cable-hamstring-curl.html
Stiff Leg Deadlift (On Bench) Video Exercise Guide,Hamstrings,Strength,Barbell,Isolation,Pull,Advanced,"Glutes, Lower Back",Hamstrings,https://www.muscleandstrength.com/exercises/stiff-leg-deadlift-on-bench.html
Lying Cable Leg Curl Video Exercise Guide,Hamstrings,Strength,Cable,Isolation,Pull,Beginner,None,Hamstrings,https://www.muscleandstrength.com/exercises/lying-cable-hamstring-curl.html
Smith Machine Stiff Leg Deadlift Video Exercise Guide,Hamstrings,Strength,Machine,Compound,Pull,Intermediate,"Glutes, Lower Back",Hamstrings,https://www.muscleandstrength.com/exercises/smith-machine-stiff-leg-deadlift.html
One-Leg Lying Cable Hamstring Curl Video Exercise Guide,Hamstrings,Strength,Cable,Isolation,Pull,Beginner,None,Hamstrings,https://www.muscleandstrength.com/exercises/one-leg-lying-cable-hamstring-curl.html
Barbell Split Squat With Jump Video Exercise Guide,Hamstrings,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Quads",Hamstrings,https://www.muscleandstrength.com/exercises/barbell-split-jump.html
Dumbbell Stiff Leg Deadlift (On Bench) Video Exercise Guide,Hamstrings,Strength,Dumbbell,Compound,Pull,Intermediate,"Glutes, Lower Back",Hamstrings,https://www.muscleandstrength.com/exercises/dumbbell-stiff-leg-deadlift-on-bench.html
Lat Pull Down Video Exercise Guide,Lats,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/lat-pull-down.html
Wide Grip Pull Up Video Exercise Guide,Lats,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/wide-grip-pull-up.html
Straight Arm Lat Pull Down Video Exercise Guide,Lats,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/straight-arm-lat-pull-down.html
Close Grip Lat Pull Down Video Exercise Guide,Lats,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/close-grip-pull-down.html
Chin Up Video Exercise Guide,Lats,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/chin-up.html
Reverse Grip Lat Pull Down (Underhand) Video Exercise Guide,Lats,Strength,Machine,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/reverse-grip-lat-pull-down.html
Shotgun Row Video Exercise Guide,Lats,Strength,Cable,Compound,Pull (Unilateral),Beginner,"Abs, Biceps, Shoulders, Traps, Upper Back",Lats,https://www.muscleandstrength.com/exercises/standing-one-arm-cable-row.html
V-Bar Pull Up Video Exercise Guide,Lats,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",Lats,https://www.muscleandstrength.com/exercises/v-bar-pull-up.html
Behind Neck Lat Pull Down Video Exercise Guide,Lats,Strength,Machine,Compound,Pull (Bilateral),Intermediate,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/behind-neck-lat-pull-down.html
Close Grip Pull Up Video Exercise Guide,Lats,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",Lats,https://www.muscleandstrength.com/exercises/close-grip-pull-up.html
Underhand Close Grip Lateral Pulldown Video Exercise Guide,Lats,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Middle Back",Lats,https://www.muscleandstrength.com/exercises/underhand-close-grip-lat-pull-down.html
Wide Grip Chin Up Video Exercise Guide,Lats,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",Lats,https://www.muscleandstrength.com/exercises/wide-grip-chin-up.html
Lateral Pulldown (Rope Extension) Video Exercise Guide,Lats,Strength,Machine,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",Lats,https://www.muscleandstrength.com/exercises/rope-lat-pull-down.html
Rope Pull Up Video Exercise Guide,Lats,Strength,Bodyweight,Compound,Pull,Intermediate,"Biceps, Middle Back",Lats,https://www.muscleandstrength.com/exercises/rope-pull-up.html
Overhand Close Grip Lateral Pulldown Video Exercise Guide,Lats,Strength,Machine,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",Lats,https://www.muscleandstrength.com/exercises/overhand-close-grip-lat-pull-down.html
Smith Machine Deadlift Video Exercise Guide,Lower Back,Strength,Machine,Compound,Pull,Intermediate,"Calves, Forearms, Glutes, Hamstrings, Lats, Middle Back, Quads, Traps",Lower Back,https://www.muscleandstrength.com/exercises/smith-machine-deadlift.html
Seated Cable Row Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/seated-row.html
Machine T-Bar Row Video Exercise Guide,Upper Back,Strength,Machine,Compound,Pull (Bilateral),Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/machine-t-bar-row.html
One Arm Dumbbell Row Video Exercise Guide,Upper Back,Strength,Dumbbell,Compound,Pull (Unilateral),Beginner,"Abs, Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/one-arm-dumbbell-row.html
Bent Over Dumbbell Row Video Exercise Guide,Upper Back,Strength,Dumbbell,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Lats, Lower Back, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-row.html
Machine Row Video Exercise Guide,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/machine-row.html
T-Bar Row Video Exercise Guide,Upper Back,Strength,Barbell,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Lats, Lower Back, Shoulders, Traps",Upper Back,https://www.muscleandstrength.com/exercises/bent-over-row.html
Reverse Grip Bent-Over Dumbbell Row Video Exercise Guide,Upper Back,Strength,Dumbbell,Compound,Pull,Intermediate,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/reverse-grip-bent-over-dumbbell-row.html
Feet Elevated Inverted Row Video Exercise Guide,Upper Back,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/smith-machine-bodyweight-row.html
Incline Bench Two Arm Dumbbell Row Video Exercise Guide,Upper Back,Strength,Dumbbell,Compound,Pull (Bilateral),Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/incline-bench-two-arm-dumbbell-row.html
Smith Machine Bent-Over Row Video Exercise Guide,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/smith-machine-bent-over-row.html
Seated Row (Rope Extension) Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/seated-row-using-rope.html
Reverse Grip Bent Over Row Video Exercise Guide,Upper Back,Strength,Barbell,Compound,Pull,Intermediate,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/reverse-grip-bent-over-row.html
Inverted Row Video Exercise Guide,Upper Back,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/high-inverted-row.html
Seated High Cable Row Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/seated-high-cable-row.html
One-Arm Seated Cable Row Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats, Triceps",Upper Back,https://www.muscleandstrength.com/exercises/one-arm-cable-row.html
Reverse Grip Incline Bench Barbell Row Video Exercise Guide,Upper Back,Strength,Barbell,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/reverse-grip-incline-bench-barbell-row.html
One-Arm Landmine Row Video Exercise Guide,Upper Back,Strength,Barbell,Compound,Pull,Intermediate,"Biceps, Lats, Lower Back, Traps",Upper Back,https://www.muscleandstrength.com/exercises/one-arm-bent-over-row.html
Reverse Grip Smith Machine Bent-Over Row Video Exercise Guide,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/reverse-grip-smith-machine-bent-over-row.html
One-Arm Machine Row Video Exercise Guide,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/one-arm-machine-row.html
Incline Bench Barbell Row Video Exercise Guide,Upper Back,Strength,Barbell,Compound,Pull,Intermediate,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/incline-bench-barbell-row.html
Incline Bench Cable Row (Rope Extension) Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/incline-bench-cable-row-rope-extension.html
Incline Bench Cable Row Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/incline-bench-cable-row.html
Cable Palm Rotational Row Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/cable-palm-rotational-row.html
Reverse Grip Incline Bench Cable Row Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/reverse-grip-incline-bench-cable-row.html
Smith Machine One-Arm Row Video Exercise Guide,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/smith-machine-one-arm-row.html
Rope Crossover Seated Row Video Exercise Guide,Upper Back,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/rope-crossover-seated-row.html
Palm Rotational Row Video Exercise Guide,Upper Back,Strength,Dumbbell,Compound,Pull,Intermediate,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/palm-rotational-row.html
Palms In Bent-Over Dumbbell Row Video Exercise Guide,Upper Back,Strength,Dumbbell,Compound,Pull,Beginner,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/palms-in-bent-over-dumbbell-row.html
Reverse Grip Bent-Over Row (EZ Bar) Video Exercise Guide,Upper Back,Strength,EZ Bar,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/ez-bar-reverse-grip-bent-over-row.html
Reverse Grip Machine T-Bar Row Video Exercise Guide,Upper Back,Strength,Machine,Compound,Pull,Intermediate,"Biceps, Lats",Upper Back,https://www.muscleandstrength.com/exercises/reverse-grip-machine-t-bar-row.html
Reverse Grip Incline Bench Two-Arm Dumbbell Row Video Exercise Guide,Upper Back,Strength,Dumbbell,Compound,Pull,Intermediate,"Biceps, Lats, Shoulders",Upper Back,https://www.muscleandstrength.com/exercises/reverse-grip-incline-bench-two-arm-dumbbell-row.html
Dumbbell Side Bends Video Exercise Guide,Obliques,Strength,Dumbbell,Isolation,Pull,Beginner,Lower Back,Obliques,https://www.muscleandstrength.com/exercises/dumbbell-side-bends.html
Side Crunch (AKA Oblique Crunch) Video Exercise Guide,Obliques,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,Abs,Obliques,https://www.muscleandstrength.com/exercises/side-crunch.html
Wood Chop Video Exercise Guide,Obliques,Strength,Cable,Compound,Isometric,Beginner,Abs,Obliques,https://www.muscleandstrength.com/exercises/wood-chop.html
Seated Barbell Twist Video Exercise Guide,Obliques,Strength,Barbell,Isolation,N/A,Beginner,Abs,Obliques,https://www.muscleandstrength.com/exercises/seated-barbell-twist.html
Alternating Seated Dumbbell Side Bends Video Exercise Guide,Obliques,Strength,Dumbbell,Isolation,Pull,Beginner,None,Obliques,https://www.muscleandstrength.com/exercises/seated-dumbbell-side-bends.html
Seated Barbell Twist (On Floor) Video Exercise Guide,Obliques,Strength,Barbell,Isolation,N/A,Beginner,Abs,Obliques,https://www.muscleandstrength.com/exercises/floor-barbell-twist.html
Low Cable Wood Chop Video Exercise Guide,Obliques,Strength,Cable,Compound,Isometric,Beginner,Abs,Obliques,https://www.muscleandstrength.com/exercises/low-wood-chop.html
Barbell Back Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/squat.html
Leg Press Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/45-degree-leg-press.html
Machine Hack Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/hack-squat.html
Exercise Ball Wall Squat Video Exercise Guide,Quads,Strength,Exercise Ball,Compound,Push,Beginner,"Abs, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/swiss-ball-wall-squat.html
Leg Extension Video Exercise Guide,Quads,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,Quads,https://www.muscleandstrength.com/exercises/leg-extension.html
Dumbbell Squat Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/dumbbell-squat.html
Dumbbell Lunge Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/dumbbell-lunge.html
Dumbbell Step Up Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/dumbbell-step-up.html
One Leg Dumbbell Squat (AKA Dumbbell Bulgarian Split Squat) Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push (Unilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",Quads,https://www.muscleandstrength.com/exercises/one-leg-dumbbell-squat-aka-bulgarian-squat.html
Dumbbell Rear Lunge Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push (Unilateral),Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/dumbbell-rear-lunge.html
Front Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Hip Flexors, Upper Back",Quads,https://www.muscleandstrength.com/exercises/front-squat.html
Dumbbell Walking Lunge Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push (Unilateral),Advanced,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",Quads,https://www.muscleandstrength.com/exercises/dumbbell-walking-lunge.html
Plie Squat Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/pile-squat.html
Frog Squat Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Abs, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/frog-squat.html
Bodyweight Walking Lunge Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/bodyweight-walking-lunge.html
Barbell Lunge Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/barbell-lunge.html
Box Squat Video Exercise Guide,Quads,Strength,Box,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Hip Flexors, Lower Back",Quads,https://www.muscleandstrength.com/exercises/box-squat-shown-with-bench.html
Bodyweight Lateral Lunge Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push,Beginner,"Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/bodyweight-side-lunge.html
Bodyweight Squat Jump Video Exercise Guide,Quads,Plyometrics,Bodyweight,Compound,Push,Beginner,"Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/bodyweight-jump-squat.html
Smith Machine Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/smith-machine-squat.html
Prisoner Squat Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/bodyweight-squat.html
Barbell Reverse Lunge Video Exercise Guide,Quads,Strength,Barbell,Compound,Push (Unilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",Quads,https://www.muscleandstrength.com/exercises/barbell-rear-lunge.html
Single Leg Extension Video Exercise Guide,Quads,Strength,Machine,Isolation,Push (Unilateral),Beginner,None,Quads,https://www.muscleandstrength.com/exercises/single-leg-extension.html
Dumbbell Lateral Lunge Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/dumbbell-side-lunge.html
Bodyweight Reverse Lunge Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/rear-bodyweight-lunge.html
Barbell Walking Lunge Video Exercise Guide,Quads,Strength,Barbell,Compound,Push (Unilateral),Advanced,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",Quads,https://www.muscleandstrength.com/exercises/walking-barbell-lunge.html
Sissy Squat Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/sissy-squat.html
Bodyweight Lunge Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/bodyweight-lunge.html
Bodyweight Step Up Video Exercise Guide,Quads,Strength,Bodyweight,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/bodyweight-step-up.html
Barbell Deep Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/deep-squat.html
One Leg 45 Degree Leg Press Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/one-leg-45-degree-leg-press.html
Smith Machine Lunge Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/smith-machine-lunge.html
Barbell Hack Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Abs, Adductors, Calves, Forearms, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/barbell-hack-squat.html
Wide Stance 45 Degree Leg Press Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/wide-stance-45-degree-leg-press.html
Smith Machine Front Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/smith-machine-front-squat.html
Dumbbell Squat Jump Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/dumbbell-jumping-squat.html
Narrow Stance 45 Degree Leg Press Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/narrow-stance-45-degree-leg-press.html
Barbell Sumo Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/sumo-squat.html
Barbell Box Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/squat-to-bench.html
Barbell Jumping Squats Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/barbell-jumping-squats.html
Smith Machine Box Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/smith-machine-squat-to-bench.html
Barbell Lateral Lunge Video Exercise Guide,Quads,Strength,Barbell,Compound,Push (Unilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Upper Back",Quads,https://www.muscleandstrength.com/exercises/barbell-side-lunge.html
Dumbbell Split Squat With Jump Video Exercise Guide,Quads,Strength,Dumbbell,Compound,N/A,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/dumbbell-split-jump.html
Wide Hack Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push (Bilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/wide-hack-squat.html
Smith Machine Zercher Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/smith-machine-zercher-squat.html
Barbell Half Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/half-squat.html
One-Leg Hack Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/one-leg-hack-squat.html
Smith Machine Bulgarian Split Squat Video Exercise Guide,Quads,Strength,Machine,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/smith-machine-one-leg-squat.html
Overhead Squat Video Exercise Guide,Quads,Olympic Weightlifting,Barbell,Compound,Push (Bilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back, Shoulders, Traps, Triceps, Upper Back",Quads,https://www.muscleandstrength.com/exercises/overhead-squat.html
Belt Squat Video Exercise Guide,Quads,Strength,Other,Compound,Push,Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/weighted-squat.html
Barbell Lateral Split Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/barbell-side-split-squat.html
Dumbbell Wall Squat Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Intermediate,"Abs, Calves, Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/dumbbell-wall-squat.html
Barbell Narrow Stance Squat Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Lower Back",Quads,https://www.muscleandstrength.com/exercises/narrow-squat.html
Dumbbell Box Squat Video Exercise Guide,Quads,Strength,Dumbbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",Quads,https://www.muscleandstrength.com/exercises/dumbbell-squat-to-bench.html
Decline Bench Barbell Lunge Video Exercise Guide,Quads,Strength,Barbell,Compound,Push,Intermediate,"Glutes, Hamstrings",Quads,https://www.muscleandstrength.com/exercises/decline-bench-barbell-lunge.html
