Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Standing Hammer Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/standing-hammer-curl.html
Standing Dumbbell Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/standing-dumbbell-curl.html
Cross Body Hammer Curl (Pinwheel Curls) Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/hammer-curl-across-the-body.html
Cable Curl Video Exercise Guide,Biceps,Strength,Cable,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/cable-curl.html
Zottman Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull (Bilateral),Intermediate,Forearms,Biceps,https://www.muscleandstrength.com/exercises/zottman-curl.html
Concentration Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull (Unilateral),Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/concentration-cur.html
EZ Bar Preacher Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/ez-bar-preacher-curl.html
Cable Curl (Rope Extension) Video Exercise Guide,Biceps,Strength,Cable,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/rope-cable-curl.html
EZ Bar Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/ez-bar-curl.html
Alternating Seated Dumbbell Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/alternate-seated-dumbbell-curl.html
Spider Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/spider-curl.html
Alternating Standing Dumbbell Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/alternating-standing-dumbbell-curl.html
Barbell Preacher Curl Video Exercise Guide,Biceps,Strength,Barbell,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/preacher-curl.html
Standing Dumbbell Reverse Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/standing-dumbbell-reverse-curl.html
Seated Hammer Curl Video Exercise Guide,Biceps,Strength,Dumbbell,Isolation,Pull,Beginner,Forearms,Biceps,https://www.muscleandstrength.com/exercises/seated-hammer-curl.html
Machine Bicep Curl Video Exercise Guide,Biceps,Strength,Machine,Isolation,Pull,Beginner,None,Biceps,https://www.muscleandstrength.com/exercises/bicep-machine-curl.html
